"","Treatment","Week","Mean","SD","SEM"
"1","Blend1","Week 1",4,1.26491106406735,0.516397779494322
"2","Blend1","Week 2",4.16666666666667,1.32916013582513,0.542627353203324
"3","Blend1","Week 3",1.16666666666667,1.60208197875972,0.65404722901162
"4","Blend1","Week 4",0,0,0
"5","Blend2","Week 1",7,3.84707681233427,1.57056253191863
"6","Blend2","Week 2",2.33333333333333,1.211060141639,0.494413232473044
"7","Blend2","Week 3",0.666666666666667,1.211060141639,0.494413232473044
"8","Blend2","Week 4",0,0,0
"9","Blend3","Week 1",2.5,2.42899156029822,0.991631652042901
"10","Blend3","Week 2",1.16666666666667,1.94079021706795,0.792324288266981
"11","Blend3","Week 3",0,0,0
"12","Blend3","Week 4",0,0,0
"13","Female","Week 1",5.16666666666667,2.71416039810964,1.10805134257298
"14","Female","Week 2",4.5,3.14642654451045,1.28452325786651
"15","Female","Week 3",1.16666666666667,1.16904519445001,0.477260702109212
"16","Female","Week 4",0,0,0
"17","n-Hexane","Week 1",0.333333333333333,0.816496580927726,0.333333333333333
"18","n-Hexane","Week 2",0.666666666666667,1.03279555898864,0.421637021355784
"19","n-Hexane","Week 3",0,0,0
"20","n-Hexane","Week 4",0,0,0
