"","Treatment","Week","Mean","SD","SEM"
"1","Blend1","Week 1",2.16666666666667,1.47196014438797,0.600925212577332
"2","Blend1","Week 2",1.83333333333333,1.16904519445001,0.477260702109212
"3","Blend1","Week 3",1.83333333333333,1.83484785926972,0.749073501808141
"4","Blend1","Week 4",0.833333333333333,0.408248290463863,0.166666666666667
"5","Blend2","Week 1",1.5,1.04880884817015,0.428174419288838
"6","Blend2","Week 2",0.833333333333333,0.752772652709081,0.30731814857643
"7","Blend2","Week 3",1.16666666666667,1.94079021706795,0.792324288266981
"8","Blend2","Week 4",1.16666666666667,0.752772652709081,0.30731814857643
"9","Blend3","Week 1",2.66666666666667,1.211060141639,0.494413232473044
"10","Blend3","Week 2",2,2.28035085019828,0.930949336251263
"11","Blend3","Week 3",3.16666666666667,0.983192080250175,0.401386485959743
"12","Blend3","Week 4",1.83333333333333,1.32916013582513,0.542627353203324
"13","Female","Week 1",0.5,0.836660026534076,0.341565025531987
"14","Female","Week 2",0.333333333333333,0.516397779494322,0.210818510677892
"15","Female","Week 3",1.33333333333333,0.816496580927726,0.333333333333333
"16","Female","Week 4",0.666666666666667,0.516397779494322,0.210818510677892
"17","n-Hexane","Week 1",1.33333333333333,1.03279555898864,0.421637021355784
"18","n-Hexane","Week 2",2.16666666666667,1.32916013582513,0.542627353203324
"19","n-Hexane","Week 3",3.66666666666667,2.25092573548455,0.918936583472682
"20","n-Hexane","Week 4",1.16666666666667,1.16904519445001,0.477260702109212
