"","Treatment","Week","Mean","SD","SEM"
"1","Blend1","Week 1",25.25,8.30160627027485,4.15080313513742
"2","Blend1","Week 2",14.75,9.84462628374824,4.92231314187412
"3","Blend1","Week 3",8.25,5.90903263374528,2.95451631687264
"4","Blend1","Week 4",4.75,2.21735578260835,1.10867789130417
"5","Blend1","Week 5",2.75,4.27200187265877,2.13600093632938
"6","Blend1","Week 6",0.25,0.5,0.25
"7","Blend2","Week 1",22.5,9.39858145324779,4.69929072662389
"8","Blend2","Week 2",14.5,8.9628864398325,4.48144321991625
"9","Blend2","Week 3",1.25,1.25830573921179,0.629152869605896
"10","Blend2","Week 4",1,2,1
"11","Blend2","Week 5",0.75,1.5,0.75
"12","Blend2","Week 6",0,0,0
"13","Blend3","Week 1",2.75,1.5,0.75
"14","Blend3","Week 2",0.5,1,0.5
"15","Blend3","Week 3",0.25,0.5,0.25
"16","Blend3","Week 4",0,0,0
"17","Blend3","Week 5",0,0,0
"18","Blend3","Week 6",0,0,0
"19","Blend4","Week 1",3.25,1.89296944860009,0.946484724300046
"20","Blend4","Week 2",0.75,0.957427107756338,0.478713553878169
"21","Blend4","Week 3",2,3.36650164612069,1.68325082306035
"22","Blend4","Week 4",0,0,0
"23","Blend4","Week 5",0,0,0
"24","Blend4","Week 6",0,0,0
