population,component,wavename,mean_amp,sem,n
Benin,Z9-14:OAC,FAW,0.3678366,0.07554891057130685,14
Benin,Z9-14:OAC,MCB,0.47866616666666667,0.10191962583245574,6
Benin,E/Z7-12:OAC,FAW,0.0603195,NA,1
Benin,E/Z7-12:OAC,MCB,0.25002016666666665,0.06939960797892002,6
Benin,Z9-12:OAC,FAW,0.0159978,NA,1
Benin,Z9-12:OAC,MCB,0.16097452,0.05637329052962404,5
Benin,Z11-16:OAC,FAW,0.1461832354,0.07720887907017841,5
Benin,Z11-16:OAC,MCB,0.173221975,0.051294725251081696,4
Kenya,Z9-14:OAC,FAW,0.470383,0.038597182072816164,33
Kenya,Z9-14:OAC,MCB,0.7143932857142857,0.10521005930194947,7
Kenya,E/Z7-12:OAC,FAW,0.07687107777777778,0.019005677224945897,9
Kenya,E/Z7-12:OAC,MCB,0.28612447142857145,0.05388578780084302,7
Kenya,Z9-12:OAC,FAW,0.11618083333333334,0.08389525570206248,3
Kenya,Z9-12:OAC,MCB,0.25618956,0.0660114710460284,7
Kenya,Z11-16:OAC,FAW,0.11507912000000001,0.06947592702225283,5
Kenya,Z11-16:OAC,MCB,0.13962648,0.030776840016323963,5
Nigeria,Z9-14:OAC,FAW,0.9759958333333333,0.07654333790318471,6
Nigeria,Z9-14:OAC,MCB,0.879745,0.16379186714140195,4
Nigeria,E/Z7-12:OAC,FAW,0.227116,NA,1
Nigeria,E/Z7-12:OAC,MCB,0.537106,0.1463003281831589,4
Nigeria,Z9-12:OAC,MCB,0.6929743333333334,0.255726077649721,3
Nigeria,Z11-16:OAC,MCB,0.19675975,0.04300876192199097,4
